Episode,Reward,Length,TotalSteps
487,9.6,10,4307
488,2.6,3,4310
489,15.8,19,4329
490,10.4,12,4341
491,4.6,5,4346
492,6.6,7,4353
493,4.0,4,4357
494,5.8,7,4364
495,4.4,6,4370
496,7.4,9,4379
497,4.0,4,4383
498,5.6,6,4389
499,17.6,20,4409
500,14.6,15,4424
501,11.8,15,4439
502,11.0,13,4452
503,13.8,15,4467
504,9.6,10,4477
505,7.6,8,4485
506,5.2,6,4491
507,9.8,11,4502
508,4.2,5,4507
509,22.4,26,4533
510,3.8,5,4538
511,7.8,9,4547
512,2.6,3,4550
513,6.8,8,4558
514,7.0,7,4565
515,10.4,12,4577
516,5.6,6,4583
517,3.6,4,4587
518,3.6,4,4591
519,6.8,8,4599
520,7.6,8,4607
521,10.6,11,4618
522,6.0,6,4624
523,4.6,5,4629
524,5.2,6,4635
525,17.0,19,4654
526,4.6,5,4659
527,12.6,15,4674
528,5.0,5,4679
529,5.2,6,4685
530,7.4,9,4694
531,11.8,13,4707
532,6.2,7,4714
533,24.6,27,4741
534,13.0,15,4756
535,5.2,6,4762
536,10.2,13,4775
537,17.0,19,4794
538,5.0,5,4799
539,9.0,11,4810
540,21.0,23,4833
541,2.6,3,4836
542,13.8,15,4851
543,3.6,4,4855
544,4.0,4,4859
545,9.2,10,4869
546,13.8,15,4884
547,4.6,5,4889
548,30.2,35,4924
549,15.6,18,4942
550,5.0,5,4947
551,8.0,10,4957
552,21.4,23,4980
553,8.2,9,4989
554,4.8,6,4995
555,9.2,10,5005
556,9.2,10,5015
557,5.6,6,5021
558,4.6,5,5026
559,15.8,19,5045
560,4.6,5,5050
561,8.2,9,5059
562,5.6,6,5065
563,6.8,8,5073
564,14.0,16,5089
565,7.6,8,5097
566,13.6,14,5111
567,7.2,8,5119
568,10.4,12,5131
569,15.2,16,5147
570,4.8,6,5153
571,15.6,20,5173
572,6.6,7,5180
573,10.4,12,5192
574,3.0,3,5195
575,3.6,4,5199
576,12.4,14,5213
577,6.8,8,5221
578,7.2,8,5229
579,5.6,6,5235
580,9.6,10,5245
581,6.8,10,5255
582,14.8,16,5271
583,7.4,9,5280
584,7.4,9,5289
585,3.8,5,5294
586,7.8,9,5303
587,21.0,23,5326
588,10.8,12,5338
589,10.2,11,5349
590,3.6,4,5353
591,6.2,7,5360
592,8.8,10,5370
593,11.4,13,5383
594,9.4,11,5394
595,6.4,8,5402
596,15.4,17,5419
597,4.6,5,5424
598,4.0,4,5428
599,6.2,7,5435
600,8.2,9,5444
601,4.2,5,5449
602,15.2,18,5467
603,7.2,8,5475
604,9.6,10,5485
605,9.8,11,5496
606,5.2,6,5502
607,5.6,6,5508
608,12.8,14,5522
609,3.0,3,5525
610,6.8,8,5533
611,4.8,6,5539
612,11.6,14,5553
613,5.6,6,5559
614,5.0,5,5564
615,10.0,10,5574
616,5.6,6,5580
617,11.8,13,5593
618,6.2,7,5600
619,18.4,22,5622
620,4.0,4,5626
621,7.2,8,5634
622,7.2,8,5642
623,3.2,4,5646
624,5.6,6,5652
625,16.8,18,5670
626,9.4,11,5681
627,12.6,15,5696
628,5.2,6,5702
629,5.6,6,5708
630,4.8,6,5714
631,14.6,17,5731
632,4.2,5,5736
633,7.0,7,5743
634,16.6,19,5762
635,6.8,8,5770
636,7.8,9,5779
637,9.2,10,5789
638,14.8,16,5805
639,4.2,5,5810
640,13.6,16,5826
641,7.2,8,5834
642,15.0,19,5853
643,16.8,18,5871
644,3.8,5,5876
645,7.2,8,5884
646,3.0,3,5887
647,16.0,18,5905
648,13.0,15,5920
649,7.2,8,5928
650,3.8,5,5933
651,4.2,5,5938
652,3.6,4,5942
653,5.8,7,5949
654,8.8,10,5959
655,10.6,11,5970
656,3.6,4,5974
657,3.6,4,5978
658,14.8,16,5994
659,22.8,26,6020
660,11.6,12,6032
661,3.6,4,6036
662,10.4,12,6048
663,4.2,5,6053
664,11.6,12,6065
665,24.0,26,6091
666,10.2,11,6102
667,4.0,4,6106
668,5.0,5,6111
669,8.4,10,6121
670,9.2,10,6131
671,2.6,3,6134
672,9.8,11,6145
673,16.6,19,6164
674,6.4,8,6172
675,12.2,13,6185
676,7.0,9,6194
677,16.2,19,6213
678,9.8,11,6224
679,3.8,5,6229
680,10.4,12,6241
681,4.8,6,6247
682,13.6,16,6263
683,18.8,22,6285
684,4.6,5,6290
685,5.6,6,6296
686,27.6,30,6326
687,14.4,16,6342
688,3.6,4,6346
689,10.0,12,6358
690,21.4,25,6383
691,16.4,18,6401
692,7.6,8,6409
693,18.8,22,6431
694,4.6,5,6436
695,27.8,33,6469
696,14.4,16,6485
697,5.0,5,6490
698,13.0,15,6505
699,5.0,5,6510
700,5.2,6,6516
701,27.4,31,6547
702,13.2,16,6563
703,4.8,6,6569
704,5.6,6,6575
705,5.2,6,6581
706,5.6,6,6587
707,14.6,17,6604
708,5.8,7,6611
709,4.2,5,6616
710,17.6,20,6636
711,6.0,6,6642
712,6.2,7,6649
713,16.0,18,6667
714,4.6,5,6672
715,8.8,10,6682
716,9.4,11,6693
717,3.6,4,6697
718,9.6,12,6709
719,21.8,23,6732
720,6.4,8,6740
721,4.6,5,6745
722,16.6,19,6764
723,14.4,16,6780
724,4.0,4,6784
725,3.6,4,6788
726,7.2,8,6796
727,2.2,3,6799
728,13.4,15,6814
729,5.0,5,6819
730,5.6,6,6825
731,7.8,9,6834
732,8.4,10,6844
733,4.6,5,6849
734,8.6,9,6858
735,15.8,17,6875
736,4.2,5,6880
737,5.8,7,6887
738,26.0,30,6917
739,18.4,20,6937
740,4.6,5,6942
741,3.2,4,6946
742,25.4,27,6973
743,3.4,5,6978
744,4.8,6,6984
745,10.8,12,6996
746,16.6,19,7015
747,13.2,16,7031
748,12.0,14,7045
749,6.2,7,7052
750,20.2,23,7075
751,12.2,13,7088
752,9.2,10,7098
753,9.8,11,7109
754,14.4,16,7125
755,12.0,14,7139
756,6.2,7,7146
757,6.4,8,7154
758,5.2,6,7160
759,6.2,7,7167
760,5.6,6,7173
761,27.0,31,7204
762,10.4,12,7216
763,15.8,19,7235
764,15.4,17,7252
765,9.4,11,7263
766,58.8,66,7329
767,3.0,3,7332
768,21.6,24,7356
769,21.6,24,7380
770,3.4,5,7385
771,4.6,5,7390
772,6.2,7,7397
773,7.6,8,7405
774,11.4,13,7418
775,4.2,5,7423
776,12.8,14,7437
777,5.2,6,7443
778,3.6,4,7447
779,13.0,15,7462
780,10.4,12,7474
781,12.6,15,7489
782,13.0,15,7504
783,4.8,6,7510
784,18.2,21,7531
785,32.2,37,7568
786,9.8,11,7579
787,9.6,12,7591
788,10.8,12,7603
789,4.2,5,7608
790,6.8,8,7616
791,8.8,10,7626
792,3.6,4,7630
793,11.6,12,7642
794,12.6,13,7655
795,6.2,7,7662
796,10.4,12,7674
797,6.2,7,7681
798,5.6,6,7687
799,9.8,11,7698
800,12.2,13,7711
801,7.4,9,7720
802,11.8,13,7733
803,4.0,4,7737
804,4.8,6,7743
805,9.2,10,7753
806,6.0,6,7759
807,6.2,7,7766
808,13.2,16,7782
809,5.8,7,7789
810,8.8,10,7799
811,20.4,22,7821
812,11.6,14,7835
813,6.0,6,7841
814,4.6,5,7846
815,6.2,7,7853
816,8.4,10,7863
817,4.2,5,7868
818,5.2,6,7874
819,7.0,7,7881
820,14.8,18,7899
821,15.0,17,7916
822,4.6,5,7921
823,21.8,25,7946
824,13.2,14,7960
825,5.0,5,7965
826,5.2,6,7971
827,12.4,14,7985
828,10.8,12,7997
829,5.2,6,8003
830,5.2,6,8009
831,8.2,9,8018
832,5.6,6,8024
833,13.2,14,8038
834,3.8,5,8043
835,48.0,56,8099
836,4.8,6,8105
837,12.2,15,8120
838,5.0,5,8125
839,6.6,7,8132
840,7.2,8,8140
841,7.0,7,8147
842,4.0,4,8151
843,6.6,7,8158
844,7.2,8,8166
845,3.6,4,8170
846,11.0,13,8183
847,7.6,8,8191
848,9.6,10,8201
849,13.4,15,8216
850,10.8,14,8230
851,9.2,10,8240
852,4.6,5,8245
853,7.6,8,8253
854,7.8,9,8262
855,7.8,9,8271
856,24.0,30,8301
857,4.8,6,8307
858,15.4,17,8324
859,3.6,4,8328
860,8.2,9,8337
861,5.2,6,8343
862,8.4,10,8353
863,4.8,6,8359
864,5.0,5,8364
865,7.8,9,8373
866,19.6,22,8395
867,12.6,15,8410
868,27.4,31,8441
869,3.8,5,8446
870,11.6,12,8458
871,4.2,5,8463
872,15.8,19,8482
873,27.6,32,8514
874,7.2,8,8522
875,38.6,45,8567
876,21.4,23,8590
877,3.6,4,8594
878,17.4,21,8615
879,40.6,47,8662
880,5.0,5,8667
881,4.8,6,8673
882,5.6,6,8679
883,13.4,15,8694
884,6.6,7,8701
885,5.6,6,8707
886,4.6,5,8712
887,31.0,37,8749
888,3.2,4,8753
889,12.8,14,8767
890,13.4,15,8782
891,8.2,9,8791
892,5.8,7,8798
893,20.2,23,8821
894,12.4,14,8835
895,5.2,6,8841
896,16.4,18,8859
897,25.0,29,8888
898,14.4,16,8904
899,5.2,6,8910
900,6.4,8,8918
901,20.4,24,8942
902,6.6,7,8949
903,21.2,24,8973
904,3.8,5,8978
905,35.4,39,9017
906,4.0,4,9021
907,8.2,9,9030
908,4.6,5,9035
909,14.4,16,9051
910,7.4,9,9060
911,4.6,5,9065
912,7.8,9,9074
913,16.4,18,9092
914,3.0,3,9095
915,5.0,5,9100
916,4.6,5,9105
917,12.6,13,9118
918,5.0,5,9123
919,15.6,18,9141
920,13.0,15,9156
921,6.4,8,9164
922,5.8,7,9171
923,6.4,8,9179
924,4.0,4,9183
925,15.4,17,9200
926,6.6,7,9207
927,6.6,7,9214
928,5.6,6,9220
929,12.4,14,9234
930,13.0,15,9249
931,13.2,16,9265
932,22.0,24,9289
933,11.6,14,9303
934,7.2,8,9311
935,6.4,8,9319
936,18.6,21,9340
937,33.0,37,9377
938,32.0,38,9415
939,27.6,32,9447
940,23.4,27,9474
941,14.2,17,9491
942,7.8,9,9500
943,15.2,18,9518
944,9.0,9,9527
945,10.2,11,9538
946,6.6,7,9545
947,11.8,13,9558
948,6.2,7,9565
949,11.2,12,9577
950,4.2,5,9582
951,10.0,12,9594
952,6.6,7,9601
953,17.0,19,9620
954,10.4,12,9632
955,6.2,7,9639
956,18.6,21,9660
957,6.2,7,9667
958,5.6,6,9673
959,13.8,15,9688
960,10.4,14,9702
961,11.8,13,9715
962,3.6,4,9719
963,17.0,19,9738
964,17.2,20,9758
965,18.4,22,9780
966,20.4,22,9802
967,6.4,8,9810
968,8.6,9,9819
969,6.2,7,9826
970,10.6,11,9837
971,7.8,9,9846
972,8.4,10,9856
973,4.6,5,9861
974,13.2,16,9877
975,8.0,10,9887
976,6.0,6,9893
977,11.0,13,9906
978,7.0,7,9913
979,36.8,44,9957
980,10.2,11,9968
981,32.8,36,10004
982,5.6,6,10010
983,6.4,8,10018
984,14.0,16,10034
985,5.0,5,10039
986,6.4,8,10047
987,10.2,11,10058
988,5.2,6,10064
989,4.6,5,10069
990,8.4,10,10079
991,10.0,12,10091
992,11.0,13,10104
993,7.0,7,10111
994,22.8,26,10137
995,3.6,4,10141
996,30.2,35,10176
997,11.4,13,10189
998,9.6,10,10199
999,7.4,9,10208
1000,23.4,27,10235
1001,16.8,18,10253
1002,5.2,6,10259
1003,22.0,24,10283
1004,29.6,36,10319
1005,15.2,18,10337
1006,17.8,21,10358
1007,8.2,9,10367
1008,4.2,5,10372
1009,4.2,5,10377
1010,34.8,40,10417
1011,38.8,46,10463
1012,13.0,15,10478
1013,26.4,32,10510
1014,8.2,9,10519
1015,24.4,26,10545
1016,5.0,5,10550
1017,11.4,13,10563
1018,4.6,5,10568
1019,6.0,6,10574
1020,15.6,18,10592
1021,8.8,10,10602
1022,13.2,14,10616
1023,5.2,6,10622
1024,9.8,11,10633
1025,3.6,4,10637
1026,9.0,11,10648
1027,4.2,5,10653
1028,22.2,25,10678
1029,5.2,6,10684
1030,27.0,31,10715
1031,4.2,5,10720
1032,7.2,8,10728
1033,7.8,9,10737
1034,5.0,5,10742
1035,5.4,7,10749
1036,11.0,13,10762
1037,18.0,20,10782
1038,6.2,7,10789
1039,30.2,35,10824
1040,13.8,15,10839
1041,16.4,18,10857
1042,14.4,16,10873
1043,5.2,6,10879
1044,5.6,6,10885
1045,4.2,5,10890
1046,15.4,17,10907
1047,14.8,16,10923
1048,33.2,38,10961
1049,16.6,19,10980
1050,10.2,11,10991
1051,18.2,21,11012
1052,5.6,6,11018
1053,6.2,7,11025
1054,14.2,15,11040
1055,6.6,7,11047
1056,11.2,14,11061
1057,12.2,15,11076
1058,13.0,15,11091
1059,7.2,8,11099
1060,14.6,17,11116
1061,14.4,16,11132
1062,17.0,19,11151
1063,25.8,29,11180
1064,12.4,14,11194
1065,14.2,15,11209
1066,5.8,7,11216
1067,7.6,8,11224
1068,13.2,14,11238
1069,15.6,20,11258
1070,15.0,17,11275
1071,3.6,4,11279
1072,3.0,3,11282
1073,5.8,7,11289
1074,10.6,13,11302
1075,14.4,16,11318
1076,8.2,9,11327
1077,7.8,9,11336
1078,31.4,35,11371
1079,12.0,14,11385
1080,3.6,4,11389
1081,11.4,15,11404
1082,4.6,5,11409
1083,6.6,7,11416
