Episode,Reward,Length,TotalSteps
937,16.0,18,8106
938,5.2,6,8112
939,4.2,5,8117
940,6.4,8,8125
941,6.2,7,8132
942,5.8,7,8139
943,8.2,9,8148
944,12.6,13,8161
945,6.8,8,8169
946,2.6,3,8172
947,11.2,12,8184
948,11.8,13,8197
949,5.8,7,8204
950,7.0,7,8211
951,14.4,16,8227
952,3.2,4,8231
953,9.2,10,8241
954,9.6,10,8251
955,9.2,10,8261
956,17.8,21,8282
957,4.6,5,8287
958,16.6,19,8306
959,7.2,8,8314
960,13.6,16,8330
961,16.8,18,8348
962,9.2,10,8358
963,8.2,9,8367
964,8.4,10,8377
965,8.6,9,8386
966,5.2,6,8392
967,10.8,12,8404
968,31.4,35,8439
969,5.6,6,8445
970,18.2,21,8466
971,10.6,11,8477
972,7.6,8,8485
973,7.4,9,8494
974,3.6,4,8498
975,14.6,15,8513
976,11.2,12,8525
977,5.2,6,8531
978,5.6,6,8537
979,9.2,10,8547
980,5.2,6,8553
981,23.6,26,8579
982,24.8,28,8607
983,9.4,11,8618
984,5.2,6,8624
985,16.8,20,8644
986,6.0,6,8650
987,14.8,18,8668
988,11.6,12,8680
989,5.6,6,8686
990,11.6,12,8698
991,9.6,10,8708
992,1.0,1,8709
993,4.6,5,8714
994,3.0,3,8717
995,20.8,24,8741
996,5.8,7,8748
997,6.4,8,8756
998,18.6,21,8777
999,7.2,8,8785
1000,1.0,1,8786
1001,11.4,13,8799
1002,9.4,11,8810
1003,8.0,10,8820
1004,7.0,7,8827
1005,10.6,13,8840
1006,5.6,6,8846
1007,1.0,1,8847
1008,6.6,7,8854
1009,13.8,15,8869
1010,9.8,11,8880
1011,7.2,8,8888
1012,29.6,32,8920
1013,8.0,8,8928
1014,19.6,22,8950
1015,3.6,4,8954
1016,6.6,7,8961
1017,19.0,23,8984
1018,19.0,21,9005
1019,10.2,11,9016
1020,7.0,7,9023
1021,4.0,4,9027
1022,8.8,10,9037
1023,17.4,19,9056
1024,5.8,7,9063
1025,4.2,5,9068
